Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,KL,% Thay đổi
22/07/2022,"70,735.20","71,914.20","71,914.20","70,735.20",712.30K,-1.64%
21/07/2022,"71,914.20","71,226.50","72,307.10","70,931.70",1.72M,0.27%
20/07/2022,"71,717.70","71,914.20","72,307.10","71,521.20",1.17M,0.27%
19/07/2022,"71,521.20","70,735.20","71,619.40","70,342.30",1.53M,1.53%
18/07/2022,"70,440.50","70,735.20","70,931.70","70,244.00",1.11M,0.14%
15/07/2022,"70,342.30","71,128.20","71,717.70","70,342.30",1.48M,-1.10%
14/07/2022,"71,128.20","71,030.00","71,914.20","70,931.70",982.30K,-0.14%
13/07/2022,"71,226.50","71,914.20","72,307.10","71,128.20",1.42M,-1.09%
12/7/2022,"72,012.40","71,717.70","72,601.90","71,324.70",976.10K,0.41%
11/7/2022,"71,717.70","70,931.70","73,387.80","70,735.20",2.56M,0.00%
8/7/2022,"71,717.70","71,717.70","72,012.40","71,226.50",1.70M,0.00%
7/7/2022,"71,717.70","69,458.10","71,717.70","68,770.40",3.05M,3.25%
6/7/2022,"69,458.10","69,752.80","70,244.00","68,279.20",2.36M,0.04%
5/7/2022,"69,428.10","71,517.60","71,612.60","69,333.10",2.59M,-2.66%
4/7/2022,"71,327.60","70,282.90","71,992.50","70,092.90",3.14M,1.90%
1/7/2022,"69,998.00","68,668.30","70,187.90","68,383.30",2.86M,2.08%
30/06/2022,"68,573.30","68,668.30","71,042.70","68,573.30",3.58M,-0.14%
29/06/2022,"68,668.30","67,053.70","69,048.20","67,053.70",1.94M,2.12%
28/06/2022,"67,243.60","67,053.70","69,048.20","66,578.80",3.04M,-0.42%
27/06/2022,"67,528.60","68,193.40","68,478.30","66,768.70",1.80M,-0.56%
24/06/2022,"67,908.50","67,433.60","69,238.10","67,338.60",1.68M,1.13%
23/06/2022,"67,148.60","67,053.70","68,383.30","66,483.80",1.10M,0.14%
22/06/2022,"67,053.70","69,428.10","69,713.00","67,053.70",2.21M,-4.21%
21/06/2022,"69,998.00","65,724.00","70,092.90","65,344.10",4.84M,6.81%
20/06/2022,"65,534.00","63,064.60","66,198.90","63,064.60",2.59M,3.45%
17/06/2022,"63,349.60","63,539.50","65,154.10","61,924.90",2.50M,-1.91%
16/06/2022,"64,584.30","61,829.90","64,869.20","61,735.00",2.22M,5.43%
15/06/2022,"61,260.10","62,779.70","63,159.60","61,260.10",2.68M,-2.42%
14/06/2022,"62,779.70","62,209.90","64,109.40","62,114.90",1.39M,-0.45%
13/06/2022,"63,064.60","64,964.20","64,964.20","62,874.70",2.38M,-4.46%
10/6/2022,"66,008.90","66,483.80","66,673.80","66,008.90",1.48M,-1.00%
9/6/2022,"66,673.80","67,433.60","67,528.60","66,673.80",1.05M,-1.13%
8/6/2022,"67,433.60","67,148.60","67,813.50","67,148.60",1.70M,0.57%
7/6/2022,"67,053.70","66,768.70","67,148.60","66,483.80",1.32M,-0.28%
6/6/2022,"67,243.60","66,673.80","67,623.50","66,483.80",1.43M,0.71%
3/6/2022,"66,768.70","67,433.60","67,718.50","66,483.80",1.05M,-1.13%
2/6/2022,"67,528.60","68,383.30","68,383.30","67,243.60",1.49M,-1.11%
